iter	Logloss
0	0.6923405691
1	0.6915961541
2	0.6902975338
3	0.6889850106
4	0.6874607358
5	0.6861271291
6	0.6848106337
7	0.6837888486
8	0.6825940415
9	0.6817483341
10	0.6806507707
11	0.6797693895
12	0.6787772435
13	0.6779466612
14	0.676872855
15	0.6758224239
16	0.6750819811
17	0.6737321799
18	0.6729077087
19	0.6719982925
20	0.6711442587
21	0.6702532524
22	0.6691989254
23	0.6679420137
24	0.6669347426
25	0.6658966103
26	0.6648633668
27	0.6640705973
28	0.6632957029
29	0.6626356982
30	0.6617987756
31	0.6609542904
32	0.6601185136
33	0.6591712847
34	0.6585232731
35	0.6575229535
36	0.6565849677
37	0.6559987552
38	0.655362584
39	0.6543801395
40	0.6535077722
41	0.6524894246
42	0.6520482757
43	0.6515817654
44	0.650938872
45	0.6506567658
46	0.649773322
47	0.6492110194
48	0.6485864594
49	0.6475926329
50	0.6473114434
51	0.6465601533
52	0.6460613303
53	0.6452401439
54	0.6448073978
55	0.643908447
56	0.6435023607
57	0.6430033086
58	0.6422446087
59	0.6417070563
60	0.6412990603
61	0.6410174889
62	0.6404091617
63	0.6396069198
64	0.6388339734
65	0.6384226927
66	0.6377272815
67	0.6372460281
68	0.6366574093
69	0.6359621127
70	0.6353460319
71	0.6346584506
72	0.6339709839
73	0.6331810026
74	0.6325302792
75	0.63208829
76	0.6316119637
77	0.631075939
78	0.630499428
79	0.6301332934
80	0.6297459608
81	0.6289728998
82	0.6286308661
83	0.6280240666
84	0.6276074005
85	0.6270481535
86	0.6268504194
87	0.6262530922
88	0.6256369351
89	0.6250425489
90	0.6244342217
91	0.6240563613
92	0.6235248437
93	0.6229159053
94	0.6221229448
95	0.6216071634
96	0.6212232683
97	0.6207626018
98	0.6202610288
99	0.6198922206
100	0.6193060845
101	0.6190169505
102	0.6185327179
103	0.618082555
104	0.6177164968
105	0.6171556456
106	0.6164857103
107	0.6159447203
108	0.6153799733
109	0.6148269138
110	0.6142459721
111	0.6137307254
112	0.6133351427
113	0.6127435066
114	0.6123779068
115	0.6119868693
116	0.6115643211
117	0.6110604564
118	0.6107900378
119	0.6101578771
120	0.6097621034
121	0.6090391539
122	0.6085530879
123	0.6080356641
124	0.6074756532
125	0.6070192645
126	0.6066986962
127	0.6061774148
128	0.6056170983
129	0.6051151433
130	0.6044798888
131	0.6039383641
132	0.6035080624
133	0.6031834837
134	0.6027866025
135	0.6023139428
136	0.6019332179
137	0.6014100267
138	0.6008725125
139	0.600539149
140	0.600118014
141	0.5997081465
142	0.5994941797
143	0.5991636809
144	0.598552298
145	0.598072687
146	0.5976872641
147	0.5975449888
148	0.5969396407
149	0.5965516206
150	0.5961320899
